Data,Amount,Category,Payment Method,Description
2023-12-25,114.64,Transport,Dedit card,Monthly bus pass
2024-01-23,66.35,Health care,Credit card,Pharmacy visit
2024-01-11,44.32,Groceries,Credit card,Expert statement physical energy official series job.
2024-01-25,73.50,Health care,Credit card,Pharmacy visit
2024-01-28,35.00,Entertainment,Cash,Official collection inside world his.
2023-12-15,194.57,Utilities,Bank transfer,He knowledge white camera.
2023-12-27,196.55,Utilities,Bank transfer,Electricity bill
2023-12-29,66.54,Health care,Credit card,When boy already live available.
2024-01-01,119.22,Transport,Dedit card,Free the country discover such.
2024-01-21,58.77,Groceries,Credit card,Fruits and vegetables
2024-01-02,202.97,Utilities,Bank transfer,Electricity bill
2023-12-12,201.43,Utilities,Bank transfer,Electricity bill
2023-12-06,81.30,Health care,Credit card,News south believe society.
2024-01-14,192.30,Utilities,Bank transfer,Oil figure arrive.
2024-01-31,191.82,Utilities,Bank transfer,Electricity bill
2024-01-26,42.45,Groceries,Credit card,Fruits and vegetables
2023-12-09,80.90,Health care,Credit card,Imagine later stock occur challenge.
2023-12-09,120.89,Transport,Dedit card,Monthly bus pass
2023-12-17,51.40,Groceries,Credit card,Fruits and vegetables
2024-01-07,205.09,Utilities,Bank transfer,Electricity bill
2024-01-02,127.15,Transport,Dedit card,Monthly bus pass
2023-12-10,201.76,Utilities,Bank transfer,Electricity bill
2024-01-10,126.77,Transport,Dedit card,Monthly bus pass
2024-01-06,126.17,Transport,Dedit card,Monthly bus pass
2024-01-27,27.19,Entertainment,Cash,Civil development book interesting set movement.
2023-12-29,54.99,Groceries,Credit card,Employee recognize see.
2024-01-27,125.58,Transport,Dedit card,Monthly bus pass
2023-12-08,67.73,Health care,Credit card,Exist strong five enjoy future under.
2023-12-27,39.10,Entertainment,Cash,Movie night
2023-12-30,126.84,Transport,Dedit card,Something serve store brother fill hot.
2023-12-21,32.85,Entertainment,Cash,Movie night
2024-01-14,67.26,Health care,Credit card,Pharmacy visit
2024-01-16,48.89,Groceries,Credit card,Sister respond PM economy democratic detail.
2023-12-23,122.13,Transport,Dedit card,Direction budget bed visit not.
2024-01-25,42.17,Groceries,Credit card,Fruits and vegetables
2024-01-30,66.23,Health care,Credit card,Word serious director.
2024-01-12,115.94,Transport,Dedit card,Monthly bus pass
2023-12-31,68.70,Health care,Credit card,Head inside almost source always.
2023-12-29,36.89,Entertainment,Cash,Away call prove.
2023-12-14,21.18,Entertainment,Cash,Movie night
2024-01-24,111.81,Transport,Dedit card,Monthly bus pass
2024-01-27,71.55,Health care,Credit card,Head leave concern kind response specific.
2023-12-17,34.33,Entertainment,Cash,Movie night
2024-01-02,20.96,Entertainment,Cash,Positive measure several group.
2024-01-29,76.32,Health care,Credit card,Pharmacy visit
2024-01-11,201.99,Utilities,Bank transfer,Electricity bill
2023-12-29,42.71,Groceries,Credit card,Theory ask just admit religious little.
2023-12-19,190.30,Utilities,Bank transfer,Health for condition maintain.
2024-01-21,50.35,Groceries,Credit card,Fruits and vegetables
2023-12-06,44.11,Groceries,Credit card,Fruits and vegetables
2024-01-26,46.76,Groceries,Credit card,Fruits and vegetables
2023-12-11,111.68,Transport,Dedit card,Thing usually listen meet.
2023-12-25,31.35,Entertainment,Cash,Movie night
2024-01-07,77.55,Health care,Credit card,Pharmacy visit
2023-12-10,32.33,Entertainment,Cash,Artist learn clearly develop war some.
2023-12-18,84.66,Health care,Credit card,Pharmacy visit
2024-02-01,115.35,Transport,Dedit card,Monthly bus pass
2023-12-17,65.51,Health care,Credit card,Pharmacy visit
2024-02-02,25.84,Entertainment,Cash,Movie night
2024-01-08,124.32,Transport,Dedit card,Monthly bus pass
2024-01-15,40.29,Groceries,Credit card,Away car ever know case.
2024-01-28,48.05,Groceries,Credit card,Fruits and vegetables
2023-12-14,123.24,Transport,Dedit card,Former include agency quality law cell.
2023-12-06,45.85,Groceries,Credit card,Oil new purpose every say.
2023-12-30,21.98,Entertainment,Cash,Movie night
2023-12-21,115.15,Transport,Dedit card,Media door number represent paper participant protect.
2024-01-17,81.97,Health care,Credit card,Pharmacy visit
2024-01-12,33.69,Entertainment,Cash,Movie night
2024-01-16,118.68,Transport,Dedit card,Monthly bus pass
2024-01-07,129.88,Transport,Dedit card,Monthly bus pass
2024-02-04,68.25,Health care,Credit card,Write black scientist.
2023-12-20,53.88,Groceries,Credit card,Fruits and vegetables
2023-12-10,72.28,Health care,Credit card,Pharmacy visit
2023-12-26,31.38,Entertainment,Cash,Movie night
2024-02-03,201.57,Utilities,Bank transfer,Pattern trade practice control life go toward.
2023-12-02,52.07,Groceries,Credit card,Fruits and vegetables
2023-12-27,50.12,Groceries,Credit card,Fruits and vegetables
2023-12-11,41.88,Groceries,Credit card,Fruits and vegetables
2023-12-08,80.27,Health care,Credit card,Western save buy reach.
2023-12-03,119.00,Transport,Dedit card,Rate next open.
2023-12-27,199.05,Utilities,Bank transfer,News camera young threat.
2024-02-03,198.38,Utilities,Bank transfer,Electricity bill
2024-01-17,75.82,Health care,Credit card,Account car feel whose you ready.
